"id","title","description","link","price","brand","condition","image_link","weight","product_type","quantity"
"chicken-curry-boneless","Chicken Curry (Boneless)","Chicken Curry (Boneless)","https://lavv.bizrise.in/p/chicken-curry-boneless","270.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Curry (Boneless)","In stock",""
"mixed-non-veg-soft-noodles","Mixed Non-Veg Soft Noodles","Mixed Non-Veg Soft Noodles","https://lavv.bizrise.in/p/mixed-non-veg-soft-noodles","260.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mixed Non-Veg Soft Noodles","In stock",""
"methi-chaman","Methi Chaman","Methi Chaman","https://lavv.bizrise.in/p/methi-chaman","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Methi Chaman","In stock",""
"chicken-drumstick","Chicken Drumstick","Chicken Drumstick","https://lavv.bizrise.in/p/chicken-drumstick","260.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Drumstick","In stock",""
"ghee1-piece","Ghee","Ghee","https://lavv.bizrise.in/p/ghee1-piece","10.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/8d127465-c345-4c60-8dde-b2f0bdbb6b6c.png","100.0","Ghee","In stock",""
"rumali-roti","Rumali Roti","Rumali Roti","https://lavv.bizrise.in/p/rumali-roti","35.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Rumali Roti","In stock",""
"veg-chatpat","Veg Chatpat","Veg Chatpat","https://lavv.bizrise.in/p/veg-chatpat","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Chatpat","In stock",""
"egg-curry","Egg Curry","Egg Curry","https://lavv.bizrise.in/p/egg-curry","170.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Egg Curry","In stock",""
"special-murgi-half","Special Murgi [Half]","Special Murgi [Half]","https://lavv.bizrise.in/p/special-murgi-half","230.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Special Murgi [Half]","In stock",""
"kandari-veg","Kandari Veg","Kandari Veg","https://lavv.bizrise.in/p/kandari-veg","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Kandari Veg","In stock",""
"kunalfdgshijowdfguewjodihgfewokj122572323cowboy","kunalfdgshijowdfguewjodihgfewokj","<p><br></p>","https://lavv.bizrise.in/p/kunalfdgshijowdfguewjodihgfewokj122572323cowboy","20000.0","hellokjhgfghjklkjhgfghjklkjhg","NEW","","100.0","kunalfdgshijowdfguewjodihgfewokj","In stock",""
"manus-special-chicken-curry","Manu's Special Chicken Curry","Manu's Special Chicken Curry","https://lavv.bizrise.in/p/manus-special-chicken-curry","300.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Manu's Special Chicken Curry","In stock",""
"single-mutton-biryani","Single Mutton Biryani","Single Mutton Biryani","https://lavv.bizrise.in/p/single-mutton-biryani","220.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Single Mutton Biryani","In stock",""
"sweet-buns-small-pack-of-5-320-gms","Sweet Buns Small (Pack of 5) 320 gms","Sweet Buns Small (Pack of 5) 320 gms","https://lavv.bizrise.in/p/sweet-buns-small-pack-of-5-320-gms","35.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Sweet Buns Small (Pack of 5) 320 gms","In stock",""
"chicken-family-pack","Chicken Family Pack","Chicken Family Pack","https://lavv.bizrise.in/p/chicken-family-pack","560.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Family Pack","In stock",""
"ginger-chicken-wet","Ginger Chicken (Wet)","Ginger Chicken (Wet)","https://lavv.bizrise.in/p/ginger-chicken-wet","230.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Ginger Chicken (Wet)","In stock",""
"mutton-chops","MUTTON CHOPS","MUTTON CHOPS","https://lavv.bizrise.in/p/mutton-chops","310.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","MUTTON CHOPS","In stock",""
"egg-soft-noodles","Egg Soft Noodles","Egg Soft Noodles","https://lavv.bizrise.in/p/egg-soft-noodles","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Egg Soft Noodles","In stock",""
"chilli-garlic-chicken-fried-rice","Chilli Garlic Chicken Fried Rice","Chilli Garlic Chicken Fried Rice","https://lavv.bizrise.in/p/chilli-garlic-chicken-fried-rice","220.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Chicken Fried Rice","In stock",""
"paneer-biryani","Paneer Biryani","Paneer Biryani","https://lavv.bizrise.in/p/paneer-biryani","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Paneer Biryani","In stock",""
"litchi150-ml","Litchi","Litchi","https://lavv.bizrise.in/p/litchi150-ml","10.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/c0df553a-c993-4c9d-aef6-acfd2d47e604.png","100.0","Litchi","In stock",""
"veg-fried-noodles","Veg Fried Noodles","Veg Fried Noodles","https://lavv.bizrise.in/p/veg-fried-noodles","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Fried Noodles","In stock",""
"custard-cookies-box-400-gms","Custard Cookies Box (400 gms)","Custard Cookies Box (400 gms)","https://lavv.bizrise.in/p/custard-cookies-box-400-gms","175.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Custard Cookies Box (400 gms)","In stock",""
"twisted-dinner-rolls-pack-of-3-160-gms","Twisted Dinner Rolls (Pack of 3) 160 gms","Twisted Dinner Rolls (Pack of 3) 160 gms","https://lavv.bizrise.in/p/twisted-dinner-rolls-pack-of-3-160-gms","24.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Twisted Dinner Rolls (Pack of 3) 160 gms","In stock",""
"biryani-egg","biryani egg","biryani egg","https://lavv.bizrise.in/p/biryani-egg","245.0","default","NEW","","100.0","biryani egg","In stock",""
"mustad-oil200-ml","Mustad Oil","Mustad Oil","https://lavv.bizrise.in/p/mustad-oil200-ml","42.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/40334819-dec5-4473-a15b-c60d7e05cb51.png","100.0","Mustad Oil","In stock",""
"kunal","kunal","kunal","https://lavv.bizrise.in/p/kunal","56.0","default","NEW","","100.0","kunal","In stock",""
"veg-fried-rice","Veg Fried Rice","Veg Fried Rice","https://lavv.bizrise.in/p/veg-fried-rice","170.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Fried Rice","In stock",""
"kaju-masala","Kaju Masala","Kaju Masala","https://lavv.bizrise.in/p/kaju-masala","270.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Kaju Masala","In stock",""
"kalmi-kabab-4-pieces","Kalmi Kabab (4 Pieces)","Kalmi Kabab (4 Pieces)","https://lavv.bizrise.in/p/kalmi-kabab-4-pieces","300.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Kalmi Kabab (4 Pieces)","In stock",""
"maaza150-ml","Maaza","Maaza","https://lavv.bizrise.in/p/maaza150-ml","10.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/d7690604-9b6f-481f-8132-6646b2b746b9.png","100.0","Maaza","In stock",""
"mutton-rogan-gosh-bones","Mutton Rogan Gosh (Bones)","Mutton Rogan Gosh (Bones)","https://lavv.bizrise.in/p/mutton-rogan-gosh-bones","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Rogan Gosh (Bones)","In stock",""
"kadai-mutton-boneless","Kadai Mutton (Boneless)","Kadai Mutton (Boneless)","https://lavv.bizrise.in/p/kadai-mutton-boneless","310.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Kadai Mutton (Boneless)","In stock",""
"41tta-biscuits-250-gms","Atta Biscuits 250 gms","Atta Biscuits 250 gms","https://lavv.bizrise.in/p/41tta-biscuits-250-gms","80.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Atta Biscuits 250 gms","In stock",""
"prawns-curry","Prawns Curry","Prawns Curry","https://lavv.bizrise.in/p/prawns-curry","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Prawns Curry","In stock",""
"tomato500-gm","Tomato","Tomato","https://lavv.bizrise.in/p/tomato500-gm","25.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/fca95928-1aab-44ef-85b6-5651f6437332.png","100.0","Tomato","In stock",""
"fish-kabab","Fish Kabab","Fish Kabab","https://lavv.bizrise.in/p/fish-kabab","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Fish Kabab","In stock",""
"chicken-do-pyaza","Chicken Do Pyaza","Chicken Do Pyaza","https://lavv.bizrise.in/p/chicken-do-pyaza","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Do Pyaza","In stock",""
"chilli-garlic-egg-soft-noodles","Chilli Garlic Egg Soft Noodles","Chilli Garlic Egg Soft Noodles","https://lavv.bizrise.in/p/chilli-garlic-egg-soft-noodles","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Egg Soft Noodles","In stock",""
"plain-rice","Plain Rice","Plain Rice","https://lavv.bizrise.in/p/plain-rice","100.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Plain Rice","In stock",""
"special-murgii-full","Special Murgii [Full]","Special Murgii [Full]","https://lavv.bizrise.in/p/special-murgii-full","350.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Special Murgii [Full]","In stock",""
"schezwan-mixed-non-veg-fried-rice","Schezwan Mixed Non-Veg Fried Rice","Schezwan Mixed Non-Veg Fried Rice","https://lavv.bizrise.in/p/schezwan-mixed-non-veg-fried-rice","260.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Schezwan Mixed Non-Veg Fried Rice","In stock",""
"veg-sheek-kabab","Veg Sheek Kabab","Veg Sheek Kabab","https://lavv.bizrise.in/p/veg-sheek-kabab","220.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Sheek Kabab","In stock",""
"kadai-mutton-bones","Kadai Mutton (Bones)","Kadai Mutton (Bones)","https://lavv.bizrise.in/p/kadai-mutton-bones","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Kadai Mutton (Bones)","In stock",""
"schezwan-mutton-fried-rice","Schezwan Mutton Fried Rice","Schezwan Mutton Fried Rice","https://lavv.bizrise.in/p/schezwan-mutton-fried-rice","240.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Schezwan Mutton Fried Rice","In stock",""
"biryani-chickensmall","biryani-chicken","dhdbdb","https://lavv.bizrise.in/p/biryani-chickensmall","9494.0","default","NEW","","100.0","biryani-chicken","In stock",""
"mughalai-chicken-biryani","Mughalai Chicken Biryani","Mughalai Chicken Biryani","https://lavv.bizrise.in/p/mughalai-chicken-biryani","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mughalai Chicken Biryani","In stock",""
"banana1-piece","Banana","Banana","https://lavv.bizrise.in/p/banana1-piece","8.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/ae22a219-4275-435d-b579-83c7d0c0ef17.png","100.0","Banana","In stock",""
"coconut-khatai-250-gms","Coconut Khatai 250 gms","Coconut Khatai 250 gms","https://lavv.bizrise.in/p/coconut-khatai-250-gms","100.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Coconut Khatai 250 gms","In stock",""
"veg-m41nchuri41","VEG MANCHURIA","VEG MANCHURIA","https://lavv.bizrise.in/p/veg-m41nchuri41","180.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","VEG MANCHURIA","In stock",""
"dettol60-ml","Dettol","Dettol","https://lavv.bizrise.in/p/dettol60-ml","27.5","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/a2ffe0d5-75da-46aa-a47a-14c1c12c6f03.png","100.0","Dettol","In stock",""
"stuffed-kulcha","Stuffed Kulcha","Stuffed Kulcha","https://lavv.bizrise.in/p/stuffed-kulcha","50.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Stuffed Kulcha","In stock",""
"oats-cookies-box-400-gms","Oats Cookies Box (400 gms)","Oats Cookies Box (400 gms)","https://lavv.bizrise.in/p/oats-cookies-box-400-gms","190.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Oats Cookies Box (400 gms)","In stock",""
"egg-burji-41nda-burji","Egg Burji (Anda Burji)","Egg Burji (Anda Burji)","https://lavv.bizrise.in/p/egg-burji-41nda-burji","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Egg Burji (Anda Burji)","In stock",""
"tata-powder-chilli-combo3100","Tata Powder-Chilli Combo","Tata Powder-Chilli Combo","https://lavv.bizrise.in/p/tata-powder-chilli-combo3100","114.0","default","NEW","https://firebasestorage.googleapis.com/v0/b/projectbk-c0094.appspot.com/o/stores%2Fmasala1%2F3635384175f63c42c7.png?alt=media","100.0","Tata Powder-Chilli Combo","In stock",""
"mushroom-65","Mushroom 65","Mushroom 65","https://lavv.bizrise.in/p/mushroom-65","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mushroom 65","In stock",""
"pepper-chicken","Pepper Chicken","Pepper Chicken","https://lavv.bizrise.in/p/pepper-chicken","240.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Pepper Chicken","In stock",""
"chicken-biryani","Chicken Biryani","Chicken Biryani","https://lavv.bizrise.in/p/chicken-biryani","250.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Biryani","In stock",""
"methi-parata","Methi Parata","Methi Parata","https://lavv.bizrise.in/p/methi-parata","50.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Methi Parata","In stock",""
"mutton-keema-curry","Mutton Keema Curry","Mutton Keema Curry","https://lavv.bizrise.in/p/mutton-keema-curry","340.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Keema Curry","In stock",""
"coconut1-piece","Coconut","Coconut","https://lavv.bizrise.in/p/coconut1-piece","23.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/c875f58c-002d-488e-959a-ac011894cab3.png","100.0","Coconut","In stock",""
"catch-chana-masala100g","Catch Chana Masala","Catch Chana Masala","https://lavv.bizrise.in/p/catch-chana-masala100g","56.0","default","NEW","https://firebasestorage.googleapis.com/v0/b/projectbk-c0094.appspot.com/o/stores%2Fmasala1%2F3635384175f524a724.png?alt=media","100.0","Catch Chana Masala","In stock",""
"moong-dal500-gm","Moong Dal","Moong Dal","https://lavv.bizrise.in/p/moong-dal500-gm","58.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/d53ac6dc-8b1b-45cd-afe6-f9735bb35bff.png","100.0","Moong Dal","In stock",""
"mutton-family-pack","Mutton Family Pack","Mutton Family Pack","https://lavv.bizrise.in/p/mutton-family-pack","680.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Family Pack","In stock",""
"chilli-garlic-prawns-fried-rice","Chilli Garlic Prawns Fried Rice","Chilli Garlic Prawns Fried Rice","https://lavv.bizrise.in/p/chilli-garlic-prawns-fried-rice","240.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Prawns Fried Rice","In stock",""
"night-pant1-piece","Night Pant","Night Pant","https://lavv.bizrise.in/p/night-pant1-piece","349.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/5452/a3b79ece-ff80-4c49-bc31-e35f31f49c44.png","100.0","Night Pant","In stock",""
"vanilla-biscuits-250-gms","Vanilla Biscuits 250 gms","Vanilla Biscuits 250 gms","https://lavv.bizrise.in/p/vanilla-biscuits-250-gms","80.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Vanilla Biscuits 250 gms","In stock",""
"ana","ana","<p><br></p>","https://lavv.bizrise.in/p/ana","22.0","default","NEW","","100.0","ana","In stock",""
"chilli-chicken-wet","Chilli Chicken (Wet)","Chilli Chicken (Wet)","https://lavv.bizrise.in/p/chilli-chicken-wet","230.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Chicken (Wet)","In stock",""
"palak-paneer","Palak Paneer","Palak Paneer","https://lavv.bizrise.in/p/palak-paneer","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Palak Paneer","In stock",""
"plain-naan","Plain Naan","Plain Naan","https://lavv.bizrise.in/p/plain-naan","30.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Plain Naan","In stock",""
"kurkure-raga500-gm","Kurkure (Raga)","Kurkure (Raga)","https://lavv.bizrise.in/p/kurkure-raga500-gm","90.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/20658ad8-5efe-4650-afa4-42d0d6afd474.png","100.0","Kurkure (Raga)","In stock",""
"golden-fried-prawns","Golden Fried Prawns","Golden Fried Prawns","https://lavv.bizrise.in/p/golden-fried-prawns","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Golden Fried Prawns","In stock",""
"paneer-fried-rice","Paneer Fried Rice","Paneer Fried Rice","https://lavv.bizrise.in/p/paneer-fried-rice","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Paneer Fried Rice","In stock",""
"ok226f2d2dbuccaneer","ok","<p><br></p>","https://lavv.bizrise.in/p/ok226f2d2dbuccaneer","98.0","default","NEW","","100.0","ok","In stock",""
"biscuits","biscuits","biscuits","https://lavv.bizrise.in/p/biscuits","2000.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/4916849/product/biscuits/biscuits-1631617796259_1.jpg","100.0","biscuits","In stock",""
"mydukaan22cda0a0eunry","mydukaan","<p><br></p>","https://lavv.bizrise.in/p/mydukaan22cda0a0eunry","200.0","hello","NEW","","100.0","mydukaan","In stock",""
"t-shirt1-piece","T Shirt","T Shirt","https://lavv.bizrise.in/p/t-shirt1-piece","369.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/5452/4c581d4b-5f54-4d41-8450-2e64bba920d9.png","100.0","T Shirt","In stock",""
"41loo-gobi-masala","Aloo Gobi Masala","Aloo Gobi Masala","https://lavv.bizrise.in/p/41loo-gobi-masala","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Aloo Gobi Masala","In stock",""
"app","app","app","https://lavv.bizrise.in/p/app","200.0","app","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","150.0","app","In stock",""
"punjabi-chicken","Punjabi Chicken","Punjabi Chicken","https://lavv.bizrise.in/p/punjabi-chicken","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Punjabi Chicken","In stock",""
"kandari-kabab","Kandari Kabab","Kandari Kabab","https://lavv.bizrise.in/p/kandari-kabab","280.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Kandari Kabab","In stock",""
"mudhi1-piece","Mudhi","Mudhi","https://lavv.bizrise.in/p/mudhi1-piece","10.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/ed8f0b8c-3f22-4975-bdbe-524489d4ec19.png","100.0","Mudhi","In stock",""
"chicken-curry-bone","Chicken Curry (Bone)","Chicken Curry (Bone)","https://lavv.bizrise.in/p/chicken-curry-bone","250.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Curry (Bone)","In stock",""
"mangomedium","mango","tasty","https://lavv.bizrise.in/p/mangomedium","9449.0","default","NEW","","100.0","mango","In stock",""
"mixture-sadha500-gm","Mixture (Sadha)","Mixture (Sadha)","https://lavv.bizrise.in/p/mixture-sadha500-gm","90.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/8ba8e73e-ba90-4fcd-8377-9f7f575fabec.png","100.0","Mixture (Sadha)","In stock",""
"tata-sampann-chicken-masala100g","Tata Sampann Chicken Masala","Tata Sampann Chicken Masala","https://lavv.bizrise.in/p/tata-sampann-chicken-masala100g","65.0","default","NEW","https://firebasestorage.googleapis.com/v0/b/projectbk-c0094.appspot.com/o/stores%2Fmasala1%2F3635384175f6471ace.png?alt=media","100.0","Tata Sampann Chicken Masala","In stock",""
"crispy-corn","CRISPY CORN","CRISPY CORN","https://lavv.bizrise.in/p/crispy-corn","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","CRISPY CORN","In stock",""
"nan-khatai-250-gms","Nan Khatai 250 gms","Nan Khatai 250 gms","https://lavv.bizrise.in/p/nan-khatai-250-gms","95.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Nan Khatai 250 gms","In stock",""
"test-2","test-2","<p><br></p>","https://lavv.bizrise.in/p/test-2","22.0","default","NEW","","100.0","test-2","In stock",""
"test-1","test-1","test-1","https://lavv.bizrise.in/p/test-1","23.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","test-1","In stock",""
"cake-rusk-250-gms","Cake Rusk 250 gms","Cake Rusk 250 gms","https://lavv.bizrise.in/p/cake-rusk-250-gms","95.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Cake Rusk 250 gms","In stock",""
"fish-masala1-piece","Fish Masala","Fish Masala","https://lavv.bizrise.in/p/fish-masala1-piece","5.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/42ac4f05-2d26-4bdf-9376-b8d82acb6746.png","100.0","Fish Masala","In stock",""
"test-10","test-10","<p><br></p>","https://lavv.bizrise.in/p/test-10","100.0","default","NEW","","100.0","test-10","In stock",""
"test-5","test-5","test-5","https://lavv.bizrise.in/p/test-5","24.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","test-5","In stock",""
"okk","okk","<p><br></p>","https://lavv.bizrise.in/p/okk","22.0","default","NEW","","100.0","okk","In stock",""
"test-4","test-4","test-4","https://lavv.bizrise.in/p/test-4","24.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","test-4","In stock",""
"test-3","test-3","<p><br></p>","https://lavv.bizrise.in/p/test-3","3.0","default","NEW","","100.0","test-3","In stock",""
"41tta10","Atta","Atta","https://lavv.bizrise.in/p/41tta10","225.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/4916849/product/41tta10/41tta10-1631613589205_1.jpg","100.0","Atta","In stock",""
"s3","s3","s3","https://lavv.bizrise.in/p/s3","200.0","default","NEW","https://firebasestorage.googleapis.com/v0/b/projectbk-c0094.appspot.com/o/order_attachment%2F1623218891508.jpg?alt=media&token=cffa348c-9d1d-4858-98a5-71b7270e61c5","100.0","s3","In stock",""
"tiger","tiger","tiger","https://lavv.bizrise.in/p/tiger","200.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/4916849/product/tiger/tiger-1631616283802_1.jpg","100.0","tiger","In stock",""
"veg-sh41ngh41i-rolls","VEG SHANGHAI Rolls","VEG SHANGHAI Rolls","https://lavv.bizrise.in/p/veg-sh41ngh41i-rolls","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","VEG SHANGHAI Rolls","In stock",""
"chilli-garlic-mutton-fried-rice","Chilli Garlic Mutton Fried Rice","Chilli Garlic Mutton Fried Rice","https://lavv.bizrise.in/p/chilli-garlic-mutton-fried-rice","240.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Mutton Fried Rice","In stock",""
"paneer-65","Paneer 65","Paneer 65","https://lavv.bizrise.in/p/paneer-65","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Paneer 65","In stock",""
"plain-palak","Plain Palak","Plain Palak","https://lavv.bizrise.in/p/plain-palak","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Plain Palak","In stock",""
"chicken-fry-boneless","Chicken Fry (Boneless)","Chicken Fry (Boneless)","https://lavv.bizrise.in/p/chicken-fry-boneless","280.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Fry (Boneless)","In stock",""
"pav-pack-of-6-400-gms","Pav (Pack of 6) 400 gms","Pav (Pack of 6) 400 gms","https://lavv.bizrise.in/p/pav-pack-of-6-400-gms","48.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Pav (Pack of 6) 400 gms","In stock",""
"sanitizer50-ml","Sanitizer","Sanitizer","https://lavv.bizrise.in/p/sanitizer50-ml","25.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/79d0c9c7-d05b-4c68-8c5a-249fe6d73eaf.png","100.0","Sanitizer","In stock",""
"veg-corn-soup","Veg Corn Soup","Veg Corn Soup","https://lavv.bizrise.in/p/veg-corn-soup","100.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Corn Soup","In stock",""
"veg-gold-coin","Veg Gold Coin","Veg Gold Coin","https://lavv.bizrise.in/p/veg-gold-coin","220.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Gold Coin","In stock",""
"chicken-41fghani-bones","Chicken Afghani (Bones)","Chicken Afghani (Bones)","https://lavv.bizrise.in/p/chicken-41fghani-bones","280.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Afghani (Bones)","In stock",""
"cake1-piece","Cake","Cake","https://lavv.bizrise.in/p/cake1-piece","11.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/4d067b22-675a-4793-a570-ad0324924f44.png","100.0","Cake","In stock",""
"chicken-tikka-masala","Chicken Tikka Masala","Chicken Tikka Masala","https://lavv.bizrise.in/p/chicken-tikka-masala","280.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Tikka Masala","In stock",""
"mixed-veg-curry","Mixed Veg Curry","Mixed Veg Curry","https://lavv.bizrise.in/p/mixed-veg-curry","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mixed Veg Curry","In stock",""
"goldiee-chicken-masala100g","Goldiee Chicken Masala","Goldiee Chicken Masala","https://lavv.bizrise.in/p/goldiee-chicken-masala100g","47.0","default","NEW","https://firebasestorage.googleapis.com/v0/b/projectbk-c0094.appspot.com/o/stores%2Fmasala1%2F3635384175f578ff7f.png?alt=media","100.0","Goldiee Chicken Masala","In stock",""
"spice-up150-ml","Spice-up","Spice-up","https://lavv.bizrise.in/p/spice-up150-ml","10.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/2c260303-0642-4a81-a287-004471638da5.png","100.0","Spice-up","In stock",""
"chicken-lolli-pop","Chicken Lolli Pop","Chicken Lolli Pop","https://lavv.bizrise.in/p/chicken-lolli-pop","260.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Lolli Pop","In stock",""
"basket-chicken","Basket Chicken","Basket Chicken","https://lavv.bizrise.in/p/basket-chicken","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Basket Chicken","In stock",""
